date,sales_count,data_type
2016-09-12,1.0,historical
2016-09-19,0.0,historical
2016-09-26,0.0,historical
2016-10-03,231.0,historical
2016-10-10,34.0,historical
2016-10-17,0.0,historical
2016-10-24,0.0,historical
2016-10-31,0.0,historical
2016-11-07,0.0,historical
2016-11-14,0.0,historical
2016-11-21,0.0,historical
2016-11-28,0.0,historical
2016-12-05,0.0,historical
2016-12-12,0.0,historical
2016-12-19,1.0,historical
2016-12-26,0.0,historical
2017-01-02,44.0,historical
2017-01-09,73.0,historical
2017-01-16,189.0,historical
2017-01-23,332.0,historical
2017-01-30,432.0,historical
2017-02-06,511.0,historical
2017-02-13,379.0,historical
2017-02-20,349.0,historical
2017-02-27,461.0,historical
2017-03-06,548.0,historical
2017-03-13,591.0,historical
2017-03-20,624.0,historical
2017-03-27,546.0,historical
2017-04-03,563.0,historical
2017-04-10,421.0,historical
2017-04-17,545.0,historical
2017-04-24,644.0,historical
2017-05-01,750.0,historical
2017-05-08,753.0,historical
2017-05-15,916.0,historical
2017-05-22,760.0,historical
2017-05-29,800.0,historical
2017-06-05,814.0,historical
2017-06-12,726.0,historical
2017-06-19,635.0,historical
2017-06-26,706.0,historical
2017-07-03,794.0,historical
2017-07-10,926.0,historical
2017-07-17,937.0,historical
2017-07-24,893.0,historical
2017-07-31,954.0,historical
2017-08-07,911.0,historical
2017-08-14,1008.0,historical
2017-08-21,862.0,historical
2017-08-28,979.0,historical
2017-09-04,879.0,historical
2017-09-11,1136.0,historical
2017-09-18,956.0,historical
2017-09-25,925.0,historical
2017-10-02,975.0,historical
2017-10-09,1030.0,historical
2017-10-16,1105.0,historical
2017-10-23,950.0,historical
2017-10-30,900.0,historical
2017-11-06,1168.0,historical
2017-11-13,1259.0,historical
2017-11-20,2915.0,historical
2017-11-27,2047.0,historical
2017-12-04,1631.0,historical
2017-12-11,1367.0,historical
2017-12-18,952.0,historical
2017-12-25,857.0,historical
2018-01-01,1341.0,historical
2018-01-08,1738.0,historical
2018-01-15,1704.0,historical
2018-01-22,1545.0,historical
2018-01-29,1561.0,historical
2018-02-05,1541.0,historical
2018-02-12,1595.0,historical
2018-02-19,1713.0,historical
2018-02-26,1849.0,historical
2018-03-05,1598.0,historical
2018-03-12,1541.0,historical
2018-03-19,1671.0,historical
2018-03-26,1431.0,historical
2018-04-02,1555.0,historical
2018-04-09,1522.0,historical
2018-04-16,1637.0,historical
2018-04-23,1648.0,historical
2018-04-30,1734.0,historical
2018-05-07,1943.0,historical
2018-05-14,1805.0,historical
2018-05-21,941.0,historical
2018-05-28,1075.0,historical
2018-06-04,1422.0,historical
2018-06-11,1497.0,historical
2018-06-18,1443.0,historical
2018-06-25,1382.0,historical
2018-07-02,1178.0,historical
2018-07-09,972.0,historical
2018-07-16,1649.0,historical
2018-07-23,1610.0,historical
2018-07-30,2002.0,historical
2018-08-06,1931.0,historical
2018-08-13,1839.0,historical
2018-08-20,1054.0,historical
2018-08-27,1180.0535888671875,forecast
2018-09-03,1229.9052734375,forecast
2018-09-10,1311.1920166015625,forecast
2018-09-17,1775.8988037109375,forecast
2018-09-24,1732.09912109375,forecast
2018-10-01,1628.8416748046875,forecast
2018-10-08,1577.61474609375,forecast
2018-10-15,1562.571044921875,forecast
2018-10-22,1596.2244873046875,forecast
2018-10-29,1628.7166748046875,forecast
2018-11-05,1674.0914306640625,forecast
2018-11-12,1619.6268310546875,forecast
