,positivo_score
chegou antes do prazo,0.0071509027365971
entregue antes do prazo,0.004610655619579794
bem antes do prazo,0.004553570995162112
entrega antes do prazo,0.0033016786059595587
chegou bem antes do,0.002809512443798014
produto chegou antes do,0.0029156239987891785
produto entregue antes do,0.0022983025549873567
antes do prazo previsto,0.002153358109831699
produto de ótima qualidade,0.0020206890325722747
recebi antes do prazo,0.0017965529277062498
muito antes do prazo,0.0016387225386502121
antes do prazo produto,0.0015964116640542728
produto de boa qualidade,0.0016934824003463998
antes da data prevista,0.0015428670295767795
antes do prazo recomendo,0.0014760167355210158
produto entregue no prazo,0.001450676658397908
antes do prazo estipulado,0.0013227830108505146
entregue dentro do prazo,0.0016012226575016699
antes do prazo muito,0.001300105426611976
foi entregue antes do,0.0012763036725437847
entrega dentro do prazo,0.001295782951615509
chegou dentro do prazo,0.0013366900203511827
chegou antes do previsto,0.0010292582965895545
produto chegou bem antes,0.0010238895229650077
entregue bem antes do,0.0009867608733492715
chegou muito antes do,0.0009276922985816335
produto de excelente qualidade,0.0009228452633197199
gostei muito do produto,0.0009632137456578755
antes do prazo tudo,0.0008712574645815765
produto chegou no prazo,0.0010951590981499923
antes do prazo em,0.0007973856744165635
produto antes do prazo,0.0008003333384632475
do prazo muito bom,0.0007744063593927058
entregou antes do prazo,0.0007757197922513286
produto entregue dentro do,0.0008301796703130683
até antes do prazo,0.0007834292311624946
chegou antes da data,0.000736580207738572
recebi produto antes do,0.0007007312232315411
produto foi entregue antes,0.0007055397181222863
do prazo super recomendo,0.0006382699763788551
muito bom atendimento,0.0006588744109911326
produto otimo,0.000639182874552148
bem antes da data,0.0006237719238716383
bem antes do previsto,0.0005904793204510886
nota 1000,0.0005708791912911388
prazo em perfeito estado,0.0005695199550236594
antes do prazo parabéns,0.0005628698746652519
entrega bem antes do,0.000551637018481621
produto chegou dentro do,0.0006078326144495619
antes do prazo estabelecido,0.000549520078043471
entregue antes da data,0.0005409311938663966
antes do prazo excelente,0.0005082230956150931
do prazo produto de,0.0005218410058008998
produto de acordo com,0.0005061972885693505
maravilhosa,0.0005064533055393779
dias antes do prazo,0.0004943040228403475
entrega no prazo produto,0.0005168181756898337
recebi bem antes do,0.0004858091459292232
entrega foi super rápida,0.0005105540388575621
prazo em perfeitas condições,0.0004967590513802033
ótimo produto recomendo,0.0005011159282816523
produto de qualidade entrega,0.000476460542528203
antes do prazo determinado,0.00045800152385040395
recomendo sempre,0.00044489218804603383
bom chegou antes do,0.0004615211112999405
ótimos produtos,0.00043471312389851383
tudo de bom,0.00044797506722297483
entregue muito antes do,0.00043233674841106095
do prazo em perfeito,0.0004316883237018214
chegou antes do esperado,0.00042912105906206755
chegou em perfeito estado,0.0004753957882689101
loja confiável,0.00043941808968094774
òtimo,0.00041774118334937205
do prazo bem embalado,0.0004245940406204177
veio antes do prazo,0.00042772815274555275
adorei recomendo,0.00039698198626475257
ótima entrega,0.00041469724034402393
dentro do prazo produto,0.0004554804863162581
antes do prazo adorei,0.0003894088326548517
dentro do prazo recomendo,0.0003886985913024447
tudo conforme combinado,0.00041935502475186966
antes do prazo informado,0.00040482363894363266
muito bom chegou antes,0.0003818861593127743
entrega antes do previsto,0.00037319763552436997
antes do prazo amei,0.00036564339224693916
muito antes do previsto,0.0003743190014129894
otimo atendimento,0.0003776940378899478
lindo amei,0.0003638420888929713
ótimo produto entrega rápida,0.0003635449946635661
prazo produto muito bom,0.0003744626724047896
foi entregue bem antes,0.0003917854797246218
rapida entrega,0.0003531043304921697
entrega rápida produto de,0.0003601361740043466
foi entregue no prazo,0.0007563819657862337
gostei recomendo,0.00041922985271348865
de ótima qualidade entrega,0.00034526796533509486
negociação,0.0003692294452993198
rápida antes do prazo,0.0003438537617840076
antes do prazo bem,0.0003545095976667074
do prazo em perfeitas,0.000365579847543957
antes do prazo estimado,0.00035249164597063107
qualidade chegou antes do,0.00034238698531983145
produto de otima qualidade,0.00034053306698151394
gostei muito recomendo,0.00034038687127465293
entrega super rápida produto,0.00036593171611165544
produto entregue bem antes,0.0003384515856741977
do prazo de entrega,0.0007576177828064444
antes do prazo final,0.00036253109664015316
produto muito bom recomendo,0.0003969817125229275
entrega perfeita,0.0003248695593159673
entregaram antes do prazo,0.0003737052345502137
foi ótimo,0.0003842555722654324
bem antes do esperado,0.000320091882862471
muito boa loja,0.0003334541446190956
antes do prazo combinado,0.000334882457966159
recebi corretamente,0.0003881306982592332
muito legal,0.00036213782142016876
chegou bem antes da,0.0003113712712821502
otima compra,0.0003228168669291224
amei tudo,0.00031022533697989285
dentro do prazo em,0.0003174706452796928
otimo vendedor,0.0003478975576289491
entrega rápida eficiente,0.00030689816651953644
do prazo muito bem,0.00033091331593765517
no prazo produto de,0.0003046107448665932
prazo muito bem embalado,0.00032528333273967506
tudo certo recomendo,0.0003027484089660144
de qualidade entrega rápida,0.0003013837471460596
entrega muito rapida,0.0002993368386301652
produto muito bom entrega,0.00029786999797012606
ótimo serviço,0.0003892906369979636
qualidade ótima,0.0002966916021600706
feita antes do prazo,0.0003025230696491917
rápida produto de qualidade,0.00029490400140058377
entrega super rápido,0.00029463818967491814
eficiencia,0.0002935464919979007
recomendo com certeza,0.0002930995641537191
antes do prazo ótimo,0.0002926509163910231
estou muito satisfeita com,0.0002925876537078611
produto chegou antes da,0.00033057889127558024
muito boa entrega,0.000290508454775305
chegou até antes do,0.000328253662973292
vou comprar mais,0.00028864822944597103
de ótima qualidade recomendo,0.00028550076608035253
satisfeita com atendimento,0.00028506456358229235
antes do prazo veio,0.00029351305861735996
tudo otimo,0.00028376883785890454
minha filha adorou,0.0002965572040500719
entrega rapida produto,0.00029711054915209864
chegou no prazo certo,0.00028820920690381916
show de bola,0.0002785407172378511
produto entregue antes da,0.00029269454839677143
do prazo tudo ok,0.0002770482961901491
antes do prazo gostei,0.00027699574678109116
produto bom entrega rápida,0.0002769224219066997
muito bom adorei,0.0002758027088413173
fácil de montar,0.00027486960385887264
do prazo produto muito,0.00028705778544272997
td certo,0.00031045366473170634
fiquei muito satisfeita com,0.00027641126263686127
produto muito bem embalado,0.0002674371055554216
produto entrega no prazo,0.0002661494394244085
satisfatório,0.00035599077580640483
ótimo material,0.0002638433590567898
muito boa compra,0.00026315553139297313
entrega foi muito rápida,0.0002721847463260217
entrega foi antes do,0.000296905517777139
lindo produto,0.00025837764189921185
produto entrega antes do,0.00025792476811063844
lindo recomendo,0.0002574987330502094
antes do prazo eu,0.0002663557747348651
loja super,0.0002559154704101122
produto atendimento,0.00027703505617712927
entregou bem antes do,0.00025309054754928036
produto muito bom chegou,0.000252001336913765
beleza,0.0003028423606179164
recomendável,0.00025167283233432607
muito bom produto recomendo,0.00025088625615412853
do prazo gostei muito,0.00025072849754770646
do prazo tudo certinho,0.00026064446461938196
entrega chegou antes do,0.0002498114391056397
adorei meu produto,0.0002484093106193253
otimo produto entrega,0.00024823670853295094
recomendo muito bom,0.00026868025643243484
muito bom rápido,0.0002439977069941312
material bom,0.0003272552485902224
impecável,0.00025140836661525243
prazo produto de qualidade,0.0002603700330965927
dentro do prazo bem,0.0002432859903113386
agilidade na entrega,0.0002890076994126472
antes do prazo perfeito,0.00024281233597758285
chegou no prazo produto,0.0002427909664764638
produto veio bem embalado,0.0002522755469343549
muito satisfeita com produto,0.00024181735163928908
perfeito recomendo,0.00024144694632683095
meu filho amou,0.00023866130181488573
produto em perfeito estado,0.00026945352668704766
td ok,0.0002380212212114822
no prazo bem embalado,0.00027640661556670897
certinho antes do prazo,0.0002374213019192819
entrega rápida antes do,0.0002362366985831648
produto veio certinho,0.00023401734743803016
muito bom chegou bem,0.00023318095421223528
recebi dentro do prazo,0.00036434897862306796
